Iteration,SMT1,SMT2,SMT3,SMT4,CCx,WP,Kcb,HI0,a_HI,Zmax,Fitness
1,30.671051476527932,55.597878679312295,58.783495205506206,33.54966587733658,0.9719648558563057,32.83403985878844,1.0046514030694533,0.5499988219607056,9.978681392084749,1.3548042815306516,0.37354160711775275
2,30.0,57.80963163162672,59.0056414531729,39.9496511475532,0.9798860784704444,34.99948226475166,1.0003623529097265,0.55,0.5,2.115820305500029,0.3150792132094409
3,33.28073190220641,58.97476132078248,52.92512493459209,35.78006903193373,0.8832509540405681,33.37922018513535,1.0142609159464948,0.5492706567125876,9.897002738190423,1.9109976678634557,0.4147187605617355
4,30.16319096056477,55.05551577399958,64.54648144656294,40.98025852983016,0.9126205032901429,32.15575284928384,1.0042011807429065,0.5460238795087191,8.297724696313992,2.1946339928121774,0.36332372996884765
5,30.0,52.11874152211107,60.4236458993073,59.59033949250861,0.979928791143513,35.0,1.0,0.5488515976472069,7.059738002338363,2.4780388450923243,0.31185309201497713
6,30.63096694501752,55.98556799786211,50.195977204647896,33.19848841143512,0.9733775148513012,32.26773047139975,1.0030567459351893,0.5497205603262851,4.500300270664915,1.774930576439172,0.3577769597231847
7,37.23405652720495,61.39259530174661,50.02721479804902,59.99802604838262,0.9527948840748335,30.277438944013316,1.0995190519664269,0.543788865284176,5.810054949892358,1.4971519536813398,0.41874595612237386
8,52.87287927533039,60.94225702161161,51.834916742976475,53.02428534274749,0.8820222118475041,34.664613591350445,1.0170647779211492,0.5043647437079503,0.5008522899282287,2.0148156168326454,0.43099459062162115
9,56.12645432626016,60.401275941660494,53.04197192304544,51.67041159338154,0.935251891458862,34.9936483517464,1.0279760924849015,0.49823101310911855,0.5,2.4387990931851378,0.42906919249629255
10,30.268652430046867,56.23079876932863,56.06774768609861,41.64783406802386,0.98,34.90384525973731,1.0169458192926686,0.55,2.101429052470017,1.7394676777336713,0.3586542895317781
11,38.22199124659709,58.59939663836165,57.86085296637565,60.0,0.9734026652352714,34.107096281635535,1.0994948448678594,0.526280716083244,2.8746447271540774,2.4109295407499887,0.40254246706123326
12,30.505140720032514,65.0,50.0,52.0384216290076,0.98,34.951210941255795,1.0768578827951896,0.55,10.0,2.5,0.3761585431523108
13,52.1411161231374,61.741614591605526,64.77168863472282,54.35862228055335,0.8567434990112306,32.90155298420794,1.0129740964107843,0.548965911612296,0.5,2.132167043484481,0.43415712550644686
14,30.0,50.32974027079546,65.0,38.03290898688705,0.9693793080231761,34.999994912460984,1.0,0.5485096617530785,4.6264107754489485,1.3416915352944192,0.36063402469056705
15,32.51568592185789,55.932878895627496,50.177898250160254,56.12706144818063,0.9797358082004979,34.7777361966916,1.0261283865901991,0.5309140380216509,0.5000005591355021,1.4194811692681348,0.36346602476002743
16,31.429149029027705,60.778265399456934,59.169493634601984,37.26738992656339,0.9398813478894488,33.32979534185291,1.0391315223646498,0.5435098860347116,3.2372371355781766,1.805357311429737,0.3760395438114015
17,32.18688707689593,58.84571154134586,59.53718129205553,40.836154151025674,0.9326072418356754,31.68786459494692,1.0224114996700635,0.5485988357284964,6.316995738706988,2.0873951335463437,0.3948489882043294
18,30.0,65.0,64.9999990998724,60.0,0.9236134450659493,35.0,1.0000467725498579,0.5499989072119973,0.5,1.5189849382603218,0.3509457597008174
19,30.038126265880184,52.954051363059364,50.0,33.316874226842195,0.9701225515331912,32.4812708364154,1.0002010780181956,0.55,0.5,2.5,0.3446506686169466
20,35.19933945915571,57.21078201694125,50.03034801827236,31.91088560943425,0.9695099958686153,33.15082455002581,1.0621603576052354,0.5362946962012105,6.6938856188057,2.4363408756753024,0.4045490063617578
21,32.51362486415237,58.37509655196635,60.799055687438454,59.980835254566905,0.9738193024410444,34.967992828835904,1.0,0.55,9.9986434422695,2.236555219937086,0.32281879660092916
22,30.0,60.63949617590354,64.8479125491724,60.0,0.9730724778377587,35.0,1.0,0.55,0.5,1.3755915522740085,0.3120725290259844
23,30.01357979783185,54.65403184182093,60.38849192581434,36.603640544709975,0.9083286685977604,34.3045295094117,1.0005731687613253,0.5467254909781766,3.906455516004211,1.529325983750914,0.3849057074583354
24,30.0,50.00052038708782,63.09713084408645,38.551432415880456,0.9681859993751798,31.25434027563193,1.0,0.55,9.973215888172405,1.2219941115741384,0.34999866673818264
25,30.85574368402524,50.84479210236743,64.28359262161982,58.79391205086087,0.98,35.0,1.00111504894214,0.5499947693850488,2.0936587662539643,2.40276207388135,0.30407857329547383
26,33.595208080434865,58.33747508351272,50.742910372953226,56.9876247946622,0.8794192934052366,31.36734206407688,1.089706273115414,0.5499999963504674,7.439726383660972,1.7118634425577397,0.411889368387124
27,30.18883799042485,54.786537923141935,51.70956370827533,51.54628629732514,0.9729328682486752,34.72234036070209,1.086615828823259,0.5451998285227665,4.616547096225525,2.4236689839422523,0.34756083597028
28,30.0,50.77315458895183,61.16891244114523,42.6531684104423,0.9025389359689944,33.13389217931098,1.0,0.55,0.5,1.5604379619113986,0.35073273563706114
29,36.7307611777592,61.405660828954254,57.2335263830862,40.574068400177076,0.9798913898505918,33.061468192895695,1.0724649852062722,0.5222971171923363,8.550949380158338,2.194435828868019,0.39916488277145606
30,32.82309638907672,58.094941255964855,63.670454392685,44.599359756805114,0.9193746143948691,32.48087427955557,1.0584757319896252,0.5464857504428116,5.652551545707176,1.605468929403175,0.39340459484080237
