Iteration,SMT1,SMT2,SMT3,SMT4,CCx,WP,Kcb,HI0,a_HI,Zmax,Fitness
1,30.0,62.84358421372397,50.0016583672129,54.20002521036151,0.9781923990884794,31.35970616319918,1.058656178093123,0.5103858500285609,9.01010320500278,1.24791628910047,1.8449659008726988
2,30.0,54.458367505553966,59.93613197469463,59.998211468558836,0.9752221058129781,34.38034771259735,1.0079733186707491,0.4847695767833476,0.5006182172482309,2.29561123485992,1.8092628363847596
3,30.0,50.470308285864355,53.16248529878856,60.0,0.9475823949005452,34.4115606055961,1.015920692854683,0.4940763879028782,8.0119826228954,2.286491544456829,1.8311325074802003
4,32.28223907837197,50.01444125366152,62.56316138972245,59.63255277172066,0.9764457340230308,32.43645112326735,1.0075236461248116,0.5129750077892701,6.6970226135488025,1.8121747091926403,1.805424952421585
5,30.018098372660276,50.34348983184614,50.786569909818745,59.99398138306913,0.9345442719892942,33.9830481381665,1.0282335858433782,0.4975114133457106,7.589926574129193,2.4884202588402458,1.805047553267896
6,30.0,58.268636323473686,60.15193290784679,58.90827543270417,0.9376206164756412,30.982327846270966,1.0,0.5493899668425768,7.079732255558797,1.8324804390043261,1.785496385620058
7,30.0,57.70317353187709,50.0,59.985179758079745,0.9697127332405963,30.389066750790697,1.004089308474862,0.5463736007075195,7.491084699008412,1.233480454053222,1.783844256398125
8,30.98460755684357,57.929968434042415,56.68616978585849,58.96971216728274,0.9317678590072752,30.919578181378526,1.002121668396321,0.548844621060092,1.1616077614030667,1.5017412398268446,1.8062082344712656
9,32.257740882905864,65.0,50.0,60.0,0.9402505392366852,35.0,1.0,0.5093372162843528,7.741959634564896,1.5010663481410826,1.8189924687729009
10,30.950534115498527,53.60675784395912,52.26990625728645,60.0,0.9087816847458449,30.57956481487793,1.030471721254659,0.55,7.017047931989907,1.7396499086869175,1.8225596580060315
11,30.000034845371594,56.35389056731762,52.44064296909321,59.989162703316275,0.9548690063474995,30.16095736182871,1.0151495633869179,0.5479892325575331,0.709225987889309,2.5,1.7858987997624833
12,30.0,54.12520173999682,50.0001960298567,60.0,0.9442143022531546,34.68938140484793,1.0144302007699406,0.4805660192482559,7.737753411948927,1.4487079889321417,1.807317001879085
13,30.947537506874497,51.723904735466625,50.0,59.99909175285834,0.9065128444878496,31.178619752383437,1.0343103230030282,0.539692541935198,4.638522761779401,1.7681889333880707,1.8129537730521887
14,30.0,57.46847854358753,50.00142138447167,59.95844435388243,0.9175538286146896,30.121787216479408,1.035711403445821,0.549998646978996,6.504339500990759,1.5736474760708894,1.7958741313174982
15,30.0146804964413,61.6633180958271,50.25952015050291,43.05834660393951,0.9460237090986937,32.737293408206604,1.0891733729759003,0.47190399510337816,2.98160134177447,1.5165535475213754,1.898301157362284
16,30.025050049726072,50.16274805879393,51.15685415137552,60.0,0.9444413120857581,30.87703242352525,1.0289423021413886,0.5362774296759395,8.463647221932913,1.8071372197469293,1.7960214611114402
17,30.88416027360051,55.450545354627685,50.573518187561355,59.5762055744597,0.9218652790114923,30.28643814390166,1.0088771052740646,0.55,7.149337950859548,1.8617672075471854,1.7944864687901099
18,30.0,65.0,50.0,60.0,0.9675632928244753,30.02138417553664,1.0018018236351973,0.55,0.562627554956367,2.0897099470243905,1.8042170575413747
19,31.948379809516684,58.309640873534185,50.36517295075985,60.0,0.8930752215579724,30.821403951021544,1.005804804545181,0.55,2.027800654455142,2.499890875657972,1.7576262533449722
20,30.0,63.20272687407032,64.76999700291624,59.55886782859946,0.9657665974642307,32.36575449540481,1.0003963423988413,0.5190684549394335,9.517315446449821,1.3972419170470585,1.818658581243397
21,30.0,64.99758243265288,61.01968096733951,59.999533185234355,0.8545651860104337,34.870211394340366,1.0,0.5214509355486132,9.99631948243895,1.3319251144078676,1.8402707136624215
22,30.0,62.26065241980905,61.40044448378736,58.331490422221194,0.98,32.09449053542448,1.000698741412793,0.5180892608255342,1.9599054040032873,1.2256122785606518,1.801706851222586
23,30.002994143765054,52.1421424479729,53.42938461264639,60.0,0.9053987354569115,30.010762584858572,1.0294981558072274,0.55,6.1725147085662595,1.757237473745624,1.8394679857107954
24,30.04116200213555,50.018981540363065,59.43896092391906,59.419473561023224,0.9757083854659824,30.694208057894716,1.0000983906405405,0.5459099174325847,9.440348590777232,1.6794381385897317,1.7824328706876726
25,30.0,50.246257702772375,60.9946685932008,60.0,0.9119400387464556,33.61254812190787,1.0025466827371208,0.5235609161893229,3.098496118320526,2.111745689734686,1.79650410436841
26,30.0,57.77573265774572,50.0,59.99984452311356,0.9096926960589307,30.341597427028713,1.0345261286429623,0.55,7.856975560750468,1.8889063351400865,1.7937625891863882
27,30.0,53.779233515705506,61.1740632074572,58.70040555952109,0.936746088794435,33.36506441097167,1.0101595408936612,0.5128393085092081,4.348534162468892,2.243116690687636,1.8177394306141221
28,32.51782187405775,59.05105100938484,50.02845101651044,59.71113002151504,0.9220675730899088,33.515794286449115,1.0045989415776588,0.5039795509080646,5.0067452093847855,1.9829102309946154,1.784143761048945
29,30.0,59.46587983703259,50.0,60.0,0.9798980258883789,30.14347762951316,1.0036251506645413,0.546535510701418,6.149110070709579,1.2913061686035234,1.7964762839725186
30,30.0,62.911884033995726,53.08120890262126,59.9843285192344,0.943536734157234,32.347151960258444,1.0094276217702705,0.52417333574586,6.499338941578304,1.6397872791536543,1.837221126065215
