,iteration,obj_variable,MAE,RMSE,R^2,Pearson r,Data_set,prms
0,1,Irrigation,95.44499598150894,130.83698698185543,-0.4577969312227055,0.451737810066232,with_ET_full_data,"{'SMT1': 30.048202443005305, 'SMT2': 64.23186827023838, 'SMT3': 62.42064130832655, 'SMT4': 42.38318461703013, 'CCx': 0.865694978199357, 'WP': 33.08670752003279, 'Kcb': 1.0, 'HI0': 0.5453362205912448, 'a_HI': 7.719110670075843, 'Zmax': 2.1172718265535244}"
1,1,Yield,2.4259413651148765,3.505236262171686,-0.7274401577545948,0.4152283049760559,with_ET_full_data,"{'SMT1': 30.048202443005305, 'SMT2': 64.23186827023838, 'SMT3': 62.42064130832655, 'SMT4': 42.38318461703013, 'CCx': 0.865694978199357, 'WP': 33.08670752003279, 'Kcb': 1.0, 'HI0': 0.5453362205912448, 'a_HI': 7.719110670075843, 'Zmax': 2.1172718265535244}"
2,1,ET,68.01399803335529,85.27955035431356,-1.1599382616314409,-0.09884504947117871,with_ET_full_data,"{'SMT1': 30.048202443005305, 'SMT2': 64.23186827023838, 'SMT3': 62.42064130832655, 'SMT4': 42.38318461703013, 'CCx': 0.865694978199357, 'WP': 33.08670752003279, 'Kcb': 1.0, 'HI0': 0.5453362205912448, 'a_HI': 7.719110670075843, 'Zmax': 2.1172718265535244}"
3,2,Irrigation,90.19206856485162,129.85164991374694,-0.4359221919445475,0.44302299301007764,with_ET_full_data,"{'SMT1': 30.0, 'SMT2': 50.31914223616879, 'SMT3': 65.0, 'SMT4': 59.77256347336925, 'CCx': 0.9680620017619358, 'WP': 34.105206975391965, 'Kcb': 1.0000026626443117, 'HI0': 0.5006292277106529, 'a_HI': 1.0950158883727192, 'Zmax': 2.452446436265423}"
4,2,Yield,2.263801194488225,3.2736889044188104,-0.5067570512147312,0.41669636618893985,with_ET_full_data,"{'SMT1': 30.0, 'SMT2': 50.31914223616879, 'SMT3': 65.0, 'SMT4': 59.77256347336925, 'CCx': 0.9680620017619358, 'WP': 34.105206975391965, 'Kcb': 1.0000026626443117, 'HI0': 0.5006292277106529, 'a_HI': 1.0950158883727192, 'Zmax': 2.452446436265423}"
5,2,ET,62.87619689707433,78.03033143362751,-0.8083331227990189,-0.004772710095766382,with_ET_full_data,"{'SMT1': 30.0, 'SMT2': 50.31914223616879, 'SMT3': 65.0, 'SMT4': 59.77256347336925, 'CCx': 0.9680620017619358, 'WP': 34.105206975391965, 'Kcb': 1.0000026626443117, 'HI0': 0.5006292277106529, 'a_HI': 1.0950158883727192, 'Zmax': 2.452446436265423}"
6,3,Irrigation,89.60488988452748,126.02011947010429,-0.3524329311163119,0.4547919447934461,with_ET_full_data,"{'SMT1': 32.10009184006713, 'SMT2': 60.643724742600675, 'SMT3': 54.77382322398176, 'SMT4': 31.08312556811713, 'CCx': 0.8761580135080166, 'WP': 34.48182324342106, 'Kcb': 1.0035616876900042, 'HI0': 0.5469341831666099, 'a_HI': 4.969766220433871, 'Zmax': 1.940435846161153}"
7,3,Yield,2.495343608226668,3.499088994270805,-0.721386513930701,0.4400294616834627,with_ET_full_data,"{'SMT1': 32.10009184006713, 'SMT2': 60.643724742600675, 'SMT3': 54.77382322398176, 'SMT4': 31.08312556811713, 'CCx': 0.8761580135080166, 'WP': 34.48182324342106, 'Kcb': 1.0035616876900042, 'HI0': 0.5469341831666099, 'a_HI': 4.969766220433871, 'Zmax': 1.940435846161153}"
8,3,ET,67.67944129233311,83.73865472284521,-1.0825886311510033,-0.07736453871096788,with_ET_full_data,"{'SMT1': 32.10009184006713, 'SMT2': 60.643724742600675, 'SMT3': 54.77382322398176, 'SMT4': 31.08312556811713, 'CCx': 0.8761580135080166, 'WP': 34.48182324342106, 'Kcb': 1.0035616876900042, 'HI0': 0.5469341831666099, 'a_HI': 4.969766220433871, 'Zmax': 1.940435846161153}"
9,4,Irrigation,93.38114502085378,131.54572078494482,-0.4736332530765419,0.43570448565540726,with_ET_full_data,"{'SMT1': 30.13489733501603, 'SMT2': 50.0, 'SMT3': 63.62199778173012, 'SMT4': 59.98034190666753, 'CCx': 0.9448266848441488, 'WP': 30.90092150393364, 'Kcb': 1.0, 'HI0': 0.5494044162719314, 'a_HI': 9.998467269756713, 'Zmax': 2.394938101588873}"
