,iteration,obj_variable,MAE,RMSE,R^2,Pearson r,Data_set,prms
0,1,Irrigation,82.13306006742664,116.56263802944216,-0.15705685221802668,0.47804320278118245,withoutET_full_data,"{'SMT1': 31.111087676398355, 'SMT2': 62.87672847403152, 'SMT3': 59.09184418750054, 'SMT4': 46.135064354960925, 'CCx': 0.8891841312274309, 'WP': 33.42269532504816, 'Kcb': 1.0268777229946815, 'HI0': 0.5452506709778013, 'a_HI': 3.5782411992961567, 'Zmax': 2.0887784511503154}"
1,1,Yield,2.4220544470575307,3.3643149864866135,-0.5913353854183885,0.4445819474904033,withoutET_full_data,"{'SMT1': 31.111087676398355, 'SMT2': 62.87672847403152, 'SMT3': 59.09184418750054, 'SMT4': 46.135064354960925, 'CCx': 0.8891841312274309, 'WP': 33.42269532504816, 'Kcb': 1.0268777229946815, 'HI0': 0.5452506709778013, 'a_HI': 3.5782411992961567, 'Zmax': 2.0887784511503154}"
2,1,ET,75.78257176853025,91.75147377508105,-1.5002165861021037,-0.08918704961163752,withoutET_full_data,"{'SMT1': 31.111087676398355, 'SMT2': 62.87672847403152, 'SMT3': 59.09184418750054, 'SMT4': 46.135064354960925, 'CCx': 0.8891841312274309, 'WP': 33.42269532504816, 'Kcb': 1.0268777229946815, 'HI0': 0.5452506709778013, 'a_HI': 3.5782411992961567, 'Zmax': 2.0887784511503154}"
3,2,Irrigation,94.69601798566856,131.5353900357388,-0.4734018029361411,0.4533845878832889,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 50.323104462255664, 'SMT3': 64.98487389097609, 'SMT4': 46.34073323238642, 'CCx': 0.9155326904381276, 'WP': 33.29378177794459, 'Kcb': 1.0, 'HI0': 0.5265655009768602, 'a_HI': 2.4101562454826126, 'Zmax': 1.833392313996224}"
4,2,Yield,2.422427404238971,3.473759032436849,-0.6965544307175426,0.4063677133494877,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 50.323104462255664, 'SMT3': 64.98487389097609, 'SMT4': 46.34073323238642, 'CCx': 0.9155326904381276, 'WP': 33.29378177794459, 'Kcb': 1.0, 'HI0': 0.5265655009768602, 'a_HI': 2.4101562454826126, 'Zmax': 1.833392313996224}"
5,2,ET,62.31603297305888,78.63845057939136,-0.8366289684592305,-0.03266534828718901,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 50.323104462255664, 'SMT3': 64.98487389097609, 'SMT4': 46.34073323238642, 'CCx': 0.9155326904381276, 'WP': 33.29378177794459, 'Kcb': 1.0, 'HI0': 0.5265655009768602, 'a_HI': 2.4101562454826126, 'Zmax': 1.833392313996224}"
6,3,Irrigation,93.70766890798855,134.8543431628187,-0.5486947965744531,0.4232210624575415,withoutET_full_data,"{'SMT1': 32.04410341638676, 'SMT2': 54.2236265229742, 'SMT3': 53.46294644978007, 'SMT4': 34.62281866642067, 'CCx': 0.976863774700192, 'WP': 30.41876272540965, 'Kcb': 1.0000053219288776, 'HI0': 0.549658415510459, 'a_HI': 9.826201144767424, 'Zmax': 2.457167156855799}"
7,3,Yield,2.40179119707336,3.422779510235615,-0.6471238914892521,0.47990843146592177,withoutET_full_data,"{'SMT1': 32.04410341638676, 'SMT2': 54.2236265229742, 'SMT3': 53.46294644978007, 'SMT4': 34.62281866642067, 'CCx': 0.976863774700192, 'WP': 30.41876272540965, 'Kcb': 1.0000053219288776, 'HI0': 0.549658415510459, 'a_HI': 9.826201144767424, 'Zmax': 2.457167156855799}"
8,3,ET,65.14404182019197,80.5510582875711,-0.9270546683066752,-0.07181868451653375,withoutET_full_data,"{'SMT1': 32.04410341638676, 'SMT2': 54.2236265229742, 'SMT3': 53.46294644978007, 'SMT4': 34.62281866642067, 'CCx': 0.976863774700192, 'WP': 30.41876272540965, 'Kcb': 1.0000053219288776, 'HI0': 0.549658415510459, 'a_HI': 9.826201144767424, 'Zmax': 2.457167156855799}"
9,4,Irrigation,93.47633142542057,128.57368832389687,-0.4077974298535971,0.45098610953426616,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 52.11480214416602, 'SMT3': 59.260364826490566, 'SMT4': 49.43005663427683, 'CCx': 0.9516356421634828, 'WP': 30.77276110107589, 'Kcb': 1.0, 'HI0': 0.5499999785764799, 'a_HI': 2.6258006516640884, 'Zmax': 1.7182567012392678}"
