,R2 (Yield),R2 (Irrigation),smt_1,smt_2,smt_3,smt_4,CCx,WP,Kcb,HI0,a_HI,Zmax
0,0.2001711223992001,-0.09959975612333438,32.98912254958925,64.41972821225191,50.543335926107204,59.99729146343747,0.9233852320664926,32.03874479651861,1.0075440611923014,0.5217590128337644,8.859426771532389,1.8352439642519367
1,-0.8406954745880133,0.4510733255433451,59.99369057698894,63.50126523861946,50.669979967302176,59.987375341226226,0.9677116630900746,31.51105688117812,1.079990362849154,0.49036276663095163,4.12087650395647,1.2030112495203527
2,0.2001711223992001,-0.09959975612333438,32.98912254958925,64.41972821225191,50.543335926107204,59.99729146343747,0.9233852320664926,32.03874479651861,1.0075440611923014,0.5217590128337644,8.859426771532389,1.8352439642519367
3,0.19530385067809874,-0.0418094587222535,30.17774847126994,62.79871774984541,50.477645923392096,59.99224752873278,0.9231663578861107,30.14346367717563,1.021692678456845,0.5442678350610379,9.13360050375184,1.83874992906023
4,-0.020270739571437213,0.09665885467391,30.085085019605135,64.647939621453,50.75113895844153,59.99726421546754,0.9787315916823731,32.59787971356378,1.0181152802171833,0.4963368294882484,0.5642488514190769,1.2005338533819994
5,-0.4005963900110623,0.33811255268549223,57.492547777307806,64.55336053581864,50.57866808632835,59.96221587844302,0.9648023655728634,31.303821484778688,1.0000438286332416,0.5235938299100834,0.701132507307118,1.2013576466444227
6,-0.6946771096489459,0.43251355766162247,57.9274260716729,63.598670989936885,51.75763077785131,58.451712029151516,0.9735547093938717,33.089587967345786,1.0584386755554898,0.4752984188166968,0.8023828979007774,1.2041060537820627
7,0.14070130097365963,-0.01962487200068508,30.209721904380523,63.63973554996978,50.506783703752745,59.98795402937069,0.9229594759974089,30.043751334952,1.0231217311896887,0.5416220720632297,6.398555351721937,1.854210576255699
8,-0.6029034196962717,0.4307899343280377,58.41304434951861,64.03406977409136,50.50403339080533,59.960977530426284,0.9668060093010709,32.19597019865768,1.0329253821693478,0.49326051564292517,5.018223754159815,1.2029289596479968
9,-0.08130934925068001,0.17882365652094612,30.22676269545434,64.84085775847741,50.49923831900751,59.955098517868116,0.9763880869396322,31.829259177156807,1.0420921158251235,0.49563693568186046,0.5551576003764511,1.2007846010504064
10,-0.7524182691093684,0.4469664747767488,59.9495436968221,64.0334383094685,50.33120176993639,59.997571565217946,0.9668057510030218,31.957249373624514,1.059555148880411,0.4980724527810922,4.020776489806337,1.20305364688269
11,0.1383912604122376,0.026515315184842625,32.9624257700507,64.78984358683701,50.69451779733543,59.98389182331888,0.9229976024247333,30.01480843942584,1.0400894422445015,0.54683116139187,6.352763815410889,1.8614998012239146
