MAE (Yield),MAE (Irrigation),smt_1,smt_2,smt_3,smt_4,CCx,WP,Kcb,HI0,a_HI,Zmax
1.547782155977147,56.17148709738305,47.226442999734005,30.131071579254197,33.916459346951854,59.64815113325271,0.9438830935964977,32.08504551740189,1.0274135916382314,0.5177718646679317,2.0932935951900387,1.211598668870957
1.5475398652169274,56.37487692789153,47.22645166906231,30.131071579254197,33.916459346951854,59.61967005264758,0.9438830935964977,32.08504551740189,1.0274134980065024,0.5177718646679317,2.1132953037376523,1.2115931107753573
1.5475398652169274,56.37487692789153,47.22645169945578,30.131071579254197,33.916459346951854,59.61967005264758,0.9438830935964977,32.08504551740189,1.0274134980065024,0.5177718646679317,2.1132953037376523,1.2115931225219325
1.5479941972410474,56.10253794484068,47.22645727073871,30.131071579254197,33.897719887511016,59.64903659326206,0.9438830935964977,32.09127690924771,1.0274134977393268,0.5172281220007795,2.0880213876900187,1.211593067174085
1.5712572807334035,54.26350228721356,47.33393454054825,30.262299712248577,34.79766706389105,59.99779514907875,0.9443562033351899,30.99398532112037,1.027501304702146,0.5328427109976255,1.8337821039263875,1.217640602108595
2.1528218950245335,42.37759365913559,54.99658380437601,33.80102271745907,53.997812694741384,59.585040678730444,0.9618987540704395,30.29505587107629,1.0609910223097092,0.5277190917741035,9.99911166712228,1.210795621317797
1.6179798269023786,50.774943974501696,37.49545219560459,32.07926264417108,34.33617129857064,59.99980139211243,0.9711997833079644,30.82144790031012,1.0907777470642805,0.4944746626231792,0.5000706685038614,1.2019542654670348
1.542597758390156,57.179909066874565,47.44179652110823,30.386491747008236,33.91566765893701,59.771496890827756,0.9465225770246908,32.34402262850508,1.029209890285267,0.512724457665944,2.124043260152126,1.2116336632593137
2.1528218950245335,42.37759365913559,54.9993652437993,33.80102271745907,53.997812694741384,59.585040678730444,0.9618987540704395,30.29505587107629,1.0609910223097092,0.5277190917741035,9.99911166712228,1.210795621317797
1.7342663987951676,44.469890375694916,30.571265108748396,49.77947856839535,50.10774952719478,59.98845395307863,0.9484678907037751,30.215530167319844,1.05351450331381,0.5301653613306504,0.9111992130538908,1.2836857202159129
1.6343667604024341,49.521275060972876,34.2832889948459,30.0861462250021,34.113047422648414,59.71471332058192,0.9735695557660683,30.696908142116946,1.090740906848329,0.4939129133728895,0.5576928951578362,1.2053860038325026
1.5713999172464757,54.06863963975593,47.258138661944855,30.262299712248577,34.79766706389105,59.99801228405971,0.9443562033351899,30.97526160798691,1.027501304702146,0.5327937928619646,1.8337821039263875,1.2176271624877848
1.5474551210125078,56.5782667584,47.226442999734005,30.129025379643963,33.916459346951854,59.618056509880546,0.9438830935964977,31.972509730707998,1.0274135671994555,0.5196895150722969,2.1091409578808955,1.2116074073527796
1.7314742245517984,45.80960990450847,30.63836876697589,50.389104379971194,50.07506886628767,59.87689603922453,0.9484692501857782,30.299574846130373,1.0538660566015878,0.5353703676076149,6.769690882554806,1.2832732704810264
1.5729176057189498,54.060112456705085,47.33298311825305,30.262299712248577,34.80110278715509,59.997668724837084,0.9443562033351899,30.928764178915014,1.0275821741141933,0.5328409701574206,1.7843697406327566,1.217640314974003
2.4423617902798536,40.58086520314914,54.840432739501736,30.292550425088344,55.27289063607337,58.03543400127178,0.8727452062143819,33.838932351978784,1.0761786589903517,0.5009229867107523,0.5000539534661177,1.2191971289115344
2.440989506003161,40.98764486416609,54.95171686783266,30.292550425088344,55.27289063607337,57.86579978460603,0.8727452062143819,33.87485143459968,1.0761786589903517,0.5009303809527179,0.5000001835172794,1.2192209276332349
2.1364039893677274,42.72837816422033,54.7423712749826,33.6985824327889,54.00317567495372,59.56218062212299,0.9635091566741488,30.03496593636408,1.0610136285298264,0.5236193192759524,0.500685385596911,1.2096618326081554
1.6330436904312613,49.72466489148135,34.2832889948459,30.094372842015627,34.11298392891416,59.71471332058192,0.9735695557660683,30.71141774801635,1.090740823260902,0.4939129133728895,0.5576928951578362,1.2053860038325026
1.592138642131513,52.85899880538644,48.66813922760472,30.20400469268751,34.92570515289768,58.65027943028821,0.9757683329723855,32.40899896402664,1.0391652233295623,0.4950336315548379,1.6742309706942542,1.251718139206517
2.4615020199542457,40.54748944043729,54.99920651069784,30.776542078669642,55.30770087300194,57.860820512500645,0.8702491918501729,30.58131484419849,1.076442208590825,0.5441407989004785,0.5000013714504167,1.2192459456138132
1.888415599993955,43.16120520195254,31.42644265672758,52.22850855168421,48.775150130428976,59.79463072934248,0.8799475299191606,30.33599237484139,1.0556251400780206,0.5499973201873558,1.9217646852822674,1.254108323675317
1.6091220097060224,52.24838863589492,48.75100818786152,30.349159912979363,34.940647756329106,58.65037654054353,0.9757720856116145,32.21967639145351,1.0391652233295623,0.4939788248060413,0.556226435097203,1.251718139206517
1.7286505133012502,47.66926945705084,30.63778834780489,49.849618087062176,50.107749509272026,59.931716692651285,0.9484679823507673,30.471853022852628,1.0535171431822778,0.5304774553676627,5.881915930478861,1.2836788083406043
1.5712572807334035,54.26350228721356,47.33393454054825,30.262299712248577,34.79766706389105,59.99915236100912,0.9443562033351899,30.99398532112037,1.027501304702146,0.5328427109976255,1.8337821039263875,1.217640602108595
1.6179798269023786,50.774943974501696,37.49545219560459,32.07926264417108,34.33617129857064,59.99980409771107,0.9711997833079644,30.82144790031012,1.0907777470642805,0.4944746626231792,0.5000706685038614,1.2019542654670348
1.5831157167632324,53.458470148230504,47.226097196155635,30.190481647871394,34.79766706389105,59.99921198175317,0.9443562033351899,30.960470251855792,1.027501304702146,0.5327938961912067,1.7832174862826644,1.2175033931512154
