Iteration,SMT1,SMT2,SMT3,SMT4,CCx,WP,Kcb,HI0,a_HI,Zmax,Fitness
1,30.0,56.003867576974486,50.44185368591086,48.87074586224768,0.9478646863394421,32.81839292036319,1.0014911998354363,0.5160278915237151,5.523115057612339,1.7382940332648777,2.1303767207767064
2,31.998740382634303,51.36936909537834,59.23832993064402,49.55630614400472,0.9091809897318193,34.965218542739464,1.0,0.5320678021687022,5.757283934620079,1.4319220347458936,2.1575116170411635
3,30.080277321461693,61.17425421045039,50.555673117246,32.51363335205085,0.8858194839355006,31.691797042879372,1.0,0.5499097966235922,7.12606118925236,1.7759313418615075,2.113984440646276
4,31.220683135402634,50.0,54.01636167560889,59.99993438199498,0.9772803477391939,30.7175029981925,1.0,0.5378467155098929,5.123376395780328,1.8370214964813016,2.0850453601611534
5,32.51764016243863,61.16380298875588,51.95257218399551,60.0,0.8680992509801009,34.23808181274735,1.004921893440981,0.55,2.874391296182488,2.2123439522849795,2.186970794081655
6,30.0,63.602890717955276,55.82200311991774,43.624297548581865,0.9731893198793425,30.0,1.0,0.5497275826286222,4.917255642006901,2.0928767371756654,2.0876552652895604
7,30.0,60.501827333123096,52.46290379188816,41.29392126481787,0.9622029637303992,30.06856117178848,1.0,0.55,8.185526138777515,2.496159425245993,2.0703212413112997
8,30.0,55.216465521232294,52.25910715372463,50.98527790904694,0.9429258726248856,30.603040891443406,1.0066845528799289,0.5459211981632998,3.246191033061487,1.2054123081210508,2.1125997314273612
9,31.948092024697466,61.39848781876018,51.90410785715331,40.68034573267312,0.91362840785272,31.92935402292527,1.0,0.5493947141743614,0.5000872823562386,2.1079932287528624,2.1047829475497712
10,30.0,50.0,50.0,39.93800223881488,0.8687057837562652,32.409392678793076,1.0,0.55,2.9425788345082293,2.2210393205667054,2.155488284646414
11,30.00337915504805,63.13089465841036,55.601234234420616,59.99961394301667,0.965022799690869,31.1299438351094,1.0,0.5499772969539023,6.9165100289011034,2.3279048413900427,2.1625680607269366
12,30.160191089734475,65.0,52.67184144765544,48.828520815778866,0.8615561428778237,32.06591789253713,1.0,0.55,0.9530275958650591,1.9230873037404421,2.1516851074255254
13,30.982003201751912,54.004382612319496,51.7034135537466,43.867453807254165,0.9449405691543225,30.38160225542116,1.0009950902918539,0.549903558581638,0.6848203341762853,2.144242998463384,2.0912645169720463
14,31.00097619519481,50.3127049703778,56.21698236730327,50.792392434039144,0.9136918227435189,31.502795882761745,1.000704675839108,0.5439960292646734,0.7842782503938792,1.8738992510581625,2.124591610095105
15,30.0,61.46211560106973,50.0,34.94677423210024,0.9799875587679165,30.842299056529562,1.0,0.55,7.363975427107491,2.499805827370545,2.0778360600001213
16,30.000457777906913,57.615442071774496,51.183576815429944,34.86166838577858,0.9798286163345984,32.47452651637333,1.0003213425005064,0.54965719078769,4.174045602128387,2.0419820278829537,2.0820863591265466
17,30.0,61.48267299888356,58.857767933962975,48.59228248760809,0.9577126409049238,34.99960575581473,1.0,0.48500862926267535,1.9152779112464096,1.6785139827060613,2.1753554378201656
18,31.962977184755403,58.38955748191066,55.40481085696393,57.51550022300013,0.9515483128882807,30.078524120904948,1.0,0.5499596037052656,0.692025490142767,1.7471570610413518,2.105564530890878
19,30.003672961223625,51.91680085910887,50.82648410809596,39.66045347523585,0.891675641212143,31.810578977438354,1.00007146751823,0.5498567010009663,4.225857844694348,2.157430721607353,2.0954402246692387
20,30.0,61.96770292896173,51.49051021534943,35.48854907628469,0.9753537090399532,30.912391778432557,1.000042023798353,0.5499950299262713,4.160811968249533,2.072690793894572,2.0536164592780866
21,30.0,57.72450957929327,51.37164502502302,40.941288704191656,0.8799685105468402,32.332439303442705,1.006469229942457,0.5473908944713091,7.975700834139761,1.4909957680002486,2.146005516927621
22,30.0,64.99885361147045,50.03836150528344,60.0,0.9382761558497829,33.556390181614674,1.0,0.5054784687115557,2.6531584151770105,1.8930381185977148,2.1765870337652595
23,31.783942417457887,50.87363405456835,50.0,59.91729896517273,0.9661676265725283,30.055629746730418,1.0,0.55,4.689739924257083,1.5791863557723416,2.0346345788912332
24,30.0,54.90921507007533,52.66417123242017,35.186374518893295,0.9799500369609779,30.439853982974068,1.0184286732418906,0.55,2.355966831691729,2.1564143497857318,2.1412939159743445
25,30.0,60.813141058859735,50.809251441042406,51.052817585671185,0.9538655181716662,32.68365071660324,1.0054498635961229,0.55,5.277506941841188,1.8010761467338947,2.149521749776616
26,30.0,53.39429074628512,50.0,59.20246974154958,0.9798685949784838,32.61354103193206,1.0,0.55,9.875838063346743,1.4244786999254562,2.139496275593313
27,30.0,57.922384571269944,50.06398677997789,30.970418212064214,0.9720144652198303,33.59576784826806,1.0,0.49751077466060273,0.562126049219341,1.2097100001080585,2.1496663715846367
28,30.0,59.73028417954644,53.73239751746529,44.46866676821993,0.9664859719046314,30.0,1.0,0.55,4.222009016790219,2.3812306624670843,2.089579364810084
29,30.0,62.16178747836353,52.07705568789583,54.76352659067195,0.9624032431595563,32.323472088435466,1.0000001942857117,0.5168844022157912,8.622948740551232,1.245783059831623,2.113227784304984
30,31.11493430511361,61.68440534909984,52.40897432040158,47.2669813947611,0.9561120020115689,31.00439793138455,1.000365658352307,0.5343259104692517,5.83831843751632,1.7137594815684107,2.0925038973297596
