Iteration,SMT1,SMT2,SMT3,SMT4,CCx,WP,Kcb,HI0,a_HI,Zmax,Fitness
1,31.111087676398355,62.87672847403152,59.09184418750054,46.135064354960925,0.8891841312274309,33.42269532504816,1.0268777229946817,0.5452506709778013,3.5782411992961567,2.0887784511503154,1.8225050959846616
2,30.0,50.323104462255664,64.98487389097609,46.34073323238642,0.9155326904381277,33.29378177794459,1.0,0.5265655009768602,2.4101562454826126,1.833392313996224,1.7491492269040374
3,32.04410341638676,54.2236265229742,53.46294644978007,34.62281866642067,0.976863774700192,30.418762725409646,1.0000053219288776,0.549658415510459,9.826201144767424,2.457167156855799,1.7139460043112686
4,30.0,52.11480214416602,59.260364826490566,49.43005663427683,0.9516356421634828,30.77276110107589,1.0,0.5499999785764799,2.6258006516640884,1.7182567012392678,1.722116301946248
5,30.0,50.36853223679646,55.74883960879027,58.18275586694394,0.9708379669830653,34.95793474077496,1.0002709931911251,0.48899463878824556,6.7845034828047215,2.490879754951744,1.7274655770745744
6,30.0,52.0439488418171,56.025388879657605,42.584107764613684,0.98,30.42061607682804,1.0,0.5469871278746672,5.447107597005683,1.530150318032936,1.6893245041905909
7,30.0,54.5849609445023,64.90264506287886,46.651361329712884,0.9616176274134303,33.57002357918587,1.00369077858893,0.5060814417333918,8.17408672067139,1.7892230162066873,1.7300942519806162
8,30.062783159876204,50.902365106970066,54.55103083514037,40.868595194093366,0.9731533121920773,30.90684038937545,1.0,0.5428471595496281,9.206602412825795,1.7856070390252952,1.7023116112411882
9,31.775062727449406,64.63653877636237,52.70345531410464,40.51014695379114,0.967941770734217,30.24819896207816,1.0,0.5479260968677332,1.252989157090598,2.3043682678444863,1.7239344045525282
10,32.021801936406455,52.87602507198276,57.06078252256799,47.503985761006554,0.9306240434969985,32.39302336209163,1.0000016371049383,0.540412584241954,0.7685749245479494,2.429730479964613,1.720014945985457
11,30.0,62.783017628978804,59.90431219003099,54.89075107409534,0.9752946630410163,32.884708660341914,1.0050948854281232,0.5069214288375274,2.26583565217742,2.447082300242372,1.7389088340389136
12,31.267073792364812,62.37539178352836,61.366386494691874,37.3766648204838,0.8960280638640805,31.77774450789518,1.0001087119989807,0.55,2.2365605260010666,1.9334100652306758,1.7667641385956485
13,30.0,53.37466968887224,54.629251475343914,40.6898053911625,0.9526341971004407,30.0,1.0202840128240693,0.55,5.672795018333083,2.3922306774447897,1.7147405886749172
14,32.497812414246724,51.42500219567452,62.739568309526256,50.83950783346861,0.9051294672406196,34.92742515543806,1.0044533970140948,0.5189867202429168,7.644875347935988,2.1807331209353853,1.7599830694624279
15,30.0,50.01281364140532,62.12752233756962,42.0228553898389,0.9523147128938898,34.24200302889704,1.0185886167921783,0.49281498751894653,9.509288915336882,1.2319520422123844,1.7739415134563234
16,30.00687240668071,62.170763473388476,57.10339819812044,35.61728711101551,0.98,31.564203269568925,1.0,0.5499691751967667,7.591302205185698,1.6240703909467784,1.7563468086919145
17,30.0,61.50945617946886,64.74678830589443,37.161664398020186,0.9638200116724714,32.49498153294086,1.0004732093167759,0.5180671430616615,4.201721655486342,2.1872128636893815,1.7282237181079911
18,30.00049793166522,63.29917061192498,61.71558554340063,58.67755767228254,0.9335209956776295,30.993130681316853,1.0000472361581445,0.5491380605597651,1.9839347175820117,1.5910423685081003,1.735209878199312
19,32.033926893468944,53.491543881349045,53.185237125071865,60.0,0.9118776487053685,31.33191773779551,1.0081215894210784,0.5499104177286677,9.281779894585059,1.9654854054369484,1.721253214232595
20,32.088039094758535,63.84324624395984,65.0,48.66300886057644,0.9428406240311056,30.1609458489148,1.0023691012061768,0.5442878533985113,2.251687522699262,2.24192392305175,1.7257228791375714
21,30.201442220660685,63.515400697237084,50.97016123246255,48.412581771505295,0.9663168701812465,32.39071418799629,1.0002996853231911,0.5302466214047964,4.388571313732381,2.1556397835333256,1.7576334091590775
22,30.0,62.990196346886876,65.0,60.0,0.9783725764021447,30.0,1.0000074562281152,0.5498425361513638,2.8599234575850216,1.2816150437253016,1.7199170090481228
23,32.090796640729295,53.43364582496181,59.330315260398734,47.04586842525648,0.9209219290704174,31.955786708089036,1.0014547950948014,0.5499601090191261,1.4582140344041088,2.036708199474764,1.7078700222126977
24,30.045381683014817,56.91419313555516,55.04989992073633,39.84293485582917,0.9456725854717413,30.541383368532184,1.0089888136555225,0.55,4.46852729335902,1.9133000934625837,1.7226721391288815
25,30.048343899493474,64.99785755740238,54.2542381028146,59.05538411071391,0.9793136934704949,30.008533354833904,1.0000365710904535,0.5499865220230782,7.777694965798017,2.1443361646421413,1.73516050084937
26,31.009774972661756,53.02789426358561,51.38937431915625,57.5127391200908,0.98,30.129916797779742,1.0008840209144383,0.55,10.0,1.8640128930683828,1.7126324126400219
27,31.38810035187998,55.92694577257908,53.230102281490346,41.261951174451426,0.9752153466098447,30.453041308084813,1.0017982082689627,0.5450009705315877,1.4307576585639858,1.636005633700334,1.7067284276289891
28,30.013281933742924,61.29204629263493,57.028526521168736,38.04176771091942,0.9647242244056264,32.760869825896634,1.0008633595054388,0.5136415598648078,3.9165219096929675,2.0113171364850118,1.733000124813658
29,30.052122878673902,52.175805438590146,55.12419568638873,47.97543412614937,0.98,30.648188584365474,1.0000680874639372,0.5424867387130177,3.5324735543643655,1.8581558556842075,1.706234121654862
30,30.049851111293293,62.20029571725633,58.16182000366859,50.392445850102575,0.9799054959532247,30.81442789126106,1.0,0.55,2.7525068078497523,1.6049488097177511,1.7401026229862437
